Gene	Symbol	Coefficient	coef	HR	CI_for_HR	p.value
ENSG00000138755	CXCL9	-0.000319093	-0.49	0.61	0.43-0.87	0.0066
ENSG00000173432	SAA1	-0.00031342	-0.35	0.71	0.5-1	0.049
ENSG00000241186	TDGF1	-0.057570596	-0.35	0.7	0.49-0.99	0.047
ENSG00000112182	BACH2	-0.07260967	-0.36	0.7	0.49-0.99	0.045
ENSG00000100911	PSME2	-0.007419245	-0.63	0.54	0.37-0.76	0.00059
ENSG00000050628	PTGER3	-0.007659085	-0.5	0.61	0.43-0.86	0.005
ENSG00000166091	CMTM5	-0.007396709	-0.36	0.69	0.49-0.98	0.04
ENSG00000126353	CCR7	0.007859303	-0.45	0.64	0.45-0.91	0.012
ENSG00000043591	ADRB1	-0.049409425	-0.41	0.67	0.47-0.94	0.022
ENSG00000069399	BCL3	-0.004805291	-0.42	0.66	0.46-0.94	0.02
ENSG00000150782	IL18	-0.011127477	-0.35	0.7	0.49-1	0.048
ENSG00000115884	SDC1	0.000883698	0.4	1.5	1.1-2.1	0.025
ENSG00000211804	TRDV1	-0.01744717	-0.49	0.61	0.43-0.87	0.0065
